index,fuel,month,year,regs
175,PETROL,8,2019,1367692
176,PETROL,9,2019,1265718
177,PETROL,10,2019,1585514
178,PETROL,11,2019,1963732
179,PETROL,12,2019,1406587
180,PETROL,1,2018,1565492
181,PETROL,2,2018,1417456
182,PETROL,3,2018,1636222
183,PETROL,4,2018,1610492
184,PETROL,5,2018,1752342
185,PETROL,6,2018,1587652
186,PETROL,7,2018,1592563
187,PETROL,8,2018,1460846
188,PETROL,9,2018,1455726
189,PETROL,10,2018,1471792
190,PETROL,11,2018,1869995
191,PETROL,12,2018,1649297
192,PETROL/CNG,1,2021,27421
193,PETROL/CNG,2,2021,23643
194,PETROL/CNG,3,2021,26124
195,PETROL/CNG,4,2021,15338
196,PETROL/CNG,5,2021,15338
197,PETROL/CNG,6,2021,13678
198,PETROL/CNG,7,2021,26092
199,PETROL/CNG,8,2021,18894
200,PETROL/CNG,9,2021,18894
201,PETROL/CNG,10,2021,16653
202,PETROL/CNG,11,2021,17039
203,PETROL/CNG,12,2021,18782
204,PETROL/CNG,1,2020,39578
205,PETROL/CNG,2,2020,30756
206,PETROL/CNG,3,2020,23240
207,PETROL/CNG,4,2020,3119
208,PETROL/CNG,5,2020,1257
209,PETROL/CNG,6,2020,7320
210,PETROL/CNG,7,2020,10942
211,PETROL/CNG,8,2020,14407
212,PETROL/CNG,9,2020,14590
213,PETROL/CNG,10,2020,20212
214,PETROL/CNG,11,2020,21926
215,PETROL/CNG,12,2020,21452
216,PETROL/CNG,1,2019,36317
217,PETROL/CNG,2,2019,31941
218,PETROL/CNG,3,2019,30668
219,PETROL/CNG,4,2019,32309
220,PETROL/CNG,5,2019,32951
221,PETROL/CNG,6,2019,27822
222,PETROL/CNG,7,2019,31856
223,PETROL/CNG,8,2019,30023
224,PETROL/CNG,9,2019,25976
225,PETROL/CNG,10,2019,38433
226,PETROL/CNG,11,2019,37554
227,PETROL/CNG,12,2019,29358
228,PETROL/CNG,1,2018,41945
229,PETROL/CNG,2,2018,38161
230,PETROL/CNG,3,2018,38297
231,PETROL/CNG,4,2018,38027
232,PETROL/CNG,5,2018,37156
233,PETROL/CNG,6,2018,34404
234,PETROL/CNG,7,2018,34944
235,PETROL/CNG,8,2018,34066
236,PETROL/CNG,9,2018,32160
237,PETROL/CNG,10,2018,34545
238,PETROL/CNG,11,2018,35420
239,PETROL/CNG,12,2018,33086
240,PETROL/HYBRID,1,2021,12732
241,PETROL/HYBRID,2,2021,10572
242,PETROL/HYBRID,3,2021,11998
243,PETROL/HYBRID,4,2021,8026
244,PETROL/HYBRID,5,2021,8026
245,PETROL/HYBRID,6,2021,7186
246,PETROL/HYBRID,7,2021,12394
247,PETROL/HYBRID,8,2021,10402
248,PETROL/HYBRID,9,2021,10402
249,PETROL/HYBRID,10,2021,12595
250,PETROL/HYBRID,11,2021,11711
251,PETROL/HYBRID,12,2021,9919
252,PETROL/HYBRID,1,2020,5826
253,PETROL/HYBRID,2,2020,5142
254,PETROL/HYBRID,3,2020,7432
255,PETROL/HYBRID,4,2020,428
256,PETROL/HYBRID,5,2020,1674
257,PETROL/HYBRID,6,2020,6306
258,PETROL/HYBRID,7,2020,6263
259,PETROL/HYBRID,8,2020,7829
260,PETROL/HYBRID,9,2020,8962
261,PETROL/HYBRID,10,2020,10381
262,PETROL/HYBRID,11,2020,11950
263,PETROL/HYBRID,12,2020,11630
264,PETROL/HYBRID,1,2019,6583
265,PETROL/HYBRID,2,2019,5414
266,PETROL/HYBRID,3,2019,6080
267,PETROL/HYBRID,4,2019,6513
268,PETROL/HYBRID,5,2019,6664
269,PETROL/HYBRID,6,2019,6115
270,PETROL/HYBRID,7,2019,5705
271,PETROL/HYBRID,8,2019,5674
272,PETROL/HYBRID,9,2019,5772
273,PETROL/HYBRID,10,2019,8605
274,PETROL/HYBRID,11,2019,7009
275,PETROL/HYBRID,12,2019,5354
276,PETROL/HYBRID,1,2018,35
277,PETROL/HYBRID,2,2018,38
278,PETROL/HYBRID,3,2018,68
279,PETROL/HYBRID,4,2018,76
280,PETROL/HYBRID,5,2018,55
281,PETROL/HYBRID,6,2018,84
282,PETROL/HYBRID,7,2018,49
283,PETROL/HYBRID,8,2018,243
284,PETROL/HYBRID,9,2018,1652
285,PETROL/HYBRID,10,2018,2339
286,PETROL/HYBRID,11,2018,2709
287,PETROL/HYBRID,12,2018,4243
