company,model,Variant,price,engine,fuel,body,seats,transmission,total_details
Honda,Jazz,VPetrol,745000,1199,Petrol,Hatchback,5,Manual,HondaJazzVPetrol
Tata,Tigor,RevotronXzaPlus,749000,1199,Petrol,Sedan,5,AMT,TataTigorRevotronXzaPlus
Honda,Amaze,SCvtPetrol,763000,1199,Petrol,Sedan,5,Automatic,HondaAmazeSCvtPetrol
Tata,Altroz,Xz(O)Petrol,769000,1199,Petrol,Hatchback,5,Manual,TataAltrozXz(O)Petrol
Honda,Amaze,VxMtPetrol,781000,1199,Petrol,Sedan,5,Manual,HondaAmazeVxMtPetrol
Honda,Jazz,VxPetrol,789000,1199,Petrol,Hatchback,5,Manual,HondaJazzVxPetrol
Honda,Amaze,ExclusiveEditionPetrol,794000,1199,Petrol,Sedan,5,Manual,HondaAmazeExclusiveEditionPetrol
Honda,Amaze,AceEditionMtPetrol,794300,1199,Petrol,Sedan,5,Manual,HondaAmazeAceEditionMtPetrol
Honda,Wr-V,EdgePlusEditionPetrol,808050,1199,Petrol,SUV,5,Manual,HondaWr-VEdgePlusEditionPetrol
Honda,Wr-V,SPetrol,815000,1199,Petrol,SUV,5,Manual,HondaWr-VSPetrol
Honda,Amaze,VCvtPetrol,823000,1199,Petrol,Sedan,5,Automatic,HondaAmazeVCvtPetrol
Honda,Amaze,VxCvtPetrol,864000,1199,Petrol,Sedan,5,Automatic,HondaAmazeVxCvtPetrol
Honda,Jazz,VCvt,865000,1199,Petrol,Hatchback,5,Automatic,HondaJazzVCvt
Honda,Amaze,AceEditionCvtPetrol,877300,1199,Petrol,Sedan,5,Automatic,HondaAmazeAceEditionCvtPetrol
Honda,Jazz,VxCvt,909000,1199,Petrol,Hatchback,5,Automatic,HondaJazzVxCvt
Honda,Wr-V,VxPetrol,925000,1199,Petrol,SUV,5,Manual,HondaWr-VVxPetrol
Honda,Jazz,ExclusiveEditionCvt,928000,1199,Petrol,Hatchback,5,Automatic,HondaJazzExclusiveEditionCvt
Honda,Wr-V,ExclusiveEditionPetrol,935050,1199,Petrol,SUV,5,Manual,HondaWr-VExclusiveEditionPetrol
Fiat,PuntoEvoPure,1.3,575947,1248,Diesel,Hatchback,5,Manual,FiatPuntoEvoPure1.3
MarutiSuzuki,Swift,Ldi,599000,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiSwiftLdi
MarutiSuzuki,DzireTour,Ldi,653523,1248,Diesel,Sedan,5,Manual,MarutiSuzukiDzireTourLdi
Tata,Bolt,XeDiesel,661111,1248,Diesel,Hatchback,5,Manual,TataBoltXeDiesel
MarutiSuzuki,Dzire,Ldi,666622,1248,Diesel,Sedan,5,Manual,MarutiSuzukiDzireLdi
MarutiSuzuki,Baleno,1.3Sigma,668611,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiBaleno1.3Sigma
Fiat,UrbanCross,1.3MultijetActive,677618,1248,Diesel,Crossover,5,Manual,FiatUrbanCross1.3MultijetActive
Fiat,PuntoEvo,DynamicMultijet1.3,692655,1248,Diesel,Hatchback,5,Manual,FiatPuntoEvoDynamicMultijet1.3
Tata,Bolt,XmDiesel,693798,1248,Diesel,Hatchback,5,Manual,TataBoltXmDiesel
MarutiSuzuki,Swift,Vdi,698000,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiSwiftVdi
Tata,Zest,XeDiesel,702946,1248,Diesel,Sedan,5,Manual,TataZestXeDiesel
Fiat,Avventura,MultijetActive,711801,1248,Diesel,Crossover,5,Manual,FiatAvventuraMultijetActive
Tata,Bolt,XmsDiesel,719661,1248,Diesel,Hatchback,5,Manual,TataBoltXmsDiesel
Premier,Rio,Crdi4,739000,1248,Diesel,SUV,5,Manual,PremierRioCrdi4
Fiat,UrbanCross,1.3MultijetDynamic,739074,1248,Diesel,Crossover,5,Manual,FiatUrbanCross1.3MultijetDynamic
MarutiSuzuki,Swift,VdiAmt,745000,1248,Diesel,Hatchback,5,Automatic,MarutiSuzukiSwiftVdiAmt
MarutiSuzuki,Baleno,1.3Delta,746621,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiBaleno1.3Delta
Fiat,PuntoEvo,EmotionMultijet1.3,747774,1248,Diesel,Hatchback,5,Manual,FiatPuntoEvoEmotionMultijet1.3
Fiat,LineaClassic,1.3Multijet,751203,1248,Diesel,Sedan,5,Manual,FiatLineaClassic1.3Multijet
MarutiSuzuki,Swift,Zdi,757000,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiSwiftZdi
MarutiSuzuki,Dzire,Vdi,757622,1248,Diesel,Sedan,5,Manual,MarutiSuzukiDzireVdi
MarutiSuzuki,VitaraBrezza,Ldi,762742,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaLdi
Tata,Zest,XmDiesel,767317,1248,Diesel,Sedan,5,Manual,TataZestXmDiesel
Tata,Bolt,XtDiesel,787980,1248,Diesel,Hatchback,5,Manual,TataBoltXtDiesel
Tata,Zest,ZestPremioEdition,788797,1248,Diesel,Sedan,5,Manual,TataZestZestPremioEdition
Tata,Zest,XmsDiesel,793898,1248,Diesel,Sedan,5,Manual,TataZestXmsDiesel
Fiat,Avventura,MultijetDynamic,796132,1248,Diesel,Crossover,5,Manual,FiatAvventuraMultijetDynamic
MarutiSuzuki,Swift,ZdiAmt,804000,1248,Diesel,Hatchback,5,Automatic,MarutiSuzukiSwiftZdiAmt
MarutiSuzuki,Dzire,VdiAmt,804622,1248,Diesel,Sedan,5,Automatic,MarutiSuzukiDzireVdiAmt
MarutiSuzuki,Baleno,1.3Zeta,807921,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiBaleno1.3Zeta
Fiat,LineaClassic,Plus1.3Multijet,808558,1248,Diesel,Sedan,5,Manual,FiatLineaClassicPlus1.3Multijet
Fiat,UrbanCross,1.3MultijetEmotion,810211,1248,Diesel,Crossover,5,Manual,FiatUrbanCross1.3MultijetEmotion
MarutiSuzuki,VitaraBrezza,Vdi,814742,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaVdi
MarutiSuzuki,Dzire,Zdi,816622,1248,Diesel,Sedan,5,Manual,MarutiSuzukiDzireZdi
Tata,Zest,XmaDiesel,836320,1248,Diesel,Sedan,5,AMT,TataZestXmaDiesel
MarutiSuzuki,Swift,ZdiPlus,838000,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiSwiftZdiPlus
Tata,Zest,XtDiesel,855362,1248,Diesel,Sedan,5,Manual,TataZestXtDiesel
Fiat,Linea,ActiveMultijet,862175,1248,Diesel,Sedan,5,Manual,FiatLineaActiveMultijet
MarutiSuzuki,Dzire,ZdiAmt,863122,1248,Diesel,Sedan,5,Automatic,MarutiSuzukiDzireZdiAmt
MarutiSuzuki,VitaraBrezza,VdiAgs,864742,1248,Diesel,SUV,5,Automatic,MarutiSuzukiVitaraBrezzaVdiAgs
MarutiSuzuki,Baleno,1.3Alpha,868221,1248,Diesel,Hatchback,5,Manual,MarutiSuzukiBaleno1.3Alpha
Fiat,Avventura,MultijetEmotion,876341,1248,Diesel,Crossover,5,Manual,FiatAvventuraMultijetEmotion
MarutiSuzuki,S-Cross,1.3LSigma,880689,1248,Diesel,Crossover,5,Manual,MarutiSuzukiS-Cross1.3LSigma
MarutiSuzuki,Swift,ZdiPlusAmt,884000,1248,Diesel,Hatchback,5,Automatic,MarutiSuzukiSwiftZdiPlusAmt
MarutiSuzuki,VitaraBrezza,Zdi,892243,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaZdi
MarutiSuzuki,Dzire,ZdiPlus,906122,1248,Diesel,Sedan,5,Manual,MarutiSuzukiDzireZdiPlus
MarutiSuzuki,Ciaz,1.3LSigmaSmartHybrid,919689,1248,Diesel,Sedan,5,Manual,MarutiSuzukiCiaz1.3LSigmaSmartHybrid
Fiat,Linea,DynamicMultijet,932025,1248,Diesel,Sedan,5,Manual,FiatLineaDynamicMultijet
MarutiSuzuki,VitaraBrezza,ZdiAgs,942243,1248,Diesel,SUV,5,Automatic,MarutiSuzukiVitaraBrezzaZdiAgs
MarutiSuzuki,Dzire,ZdiPlusAmt,952622,1248,Diesel,Sedan,5,Automatic,MarutiSuzukiDzireZdiPlusAmt
MarutiSuzuki,Ciaz,1.3LDeltaSmartHybrid,980689,1248,Diesel,Sedan,5,Manual,MarutiSuzukiCiaz1.3LDeltaSmartHybrid
MarutiSuzuki,VitaraBrezza,Zdi+,987743,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaZdi+
Tata,Zest,XtaDiesel,989000,1248,Diesel,Sedan,5,Automatic,TataZestXtaDiesel
Fiat,Linea,EmotionMultijet,991434,1248,Diesel,Sedan,5,Manual,FiatLineaEmotionMultijet
MarutiSuzuki,S-Cross,1.3LDelta,992689,1248,Diesel,Crossover,5,Manual,MarutiSuzukiS-Cross1.3LDelta
MarutiSuzuki,VitaraBrezza,Zdi+DualTone,1003552,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaZdi+DualTone
MarutiSuzuki,VitaraBrezza,Zdi+Ags,1037742,1248,Diesel,SUV,5,Manual,MarutiSuzukiVitaraBrezzaZdi+Ags
