index,season,matchday,team,goals,ht_goals
156,19-19,8,Kia,159,159
157,19-19,8,Mahindra  ,32854,32854
158,19-19,8,Maurti Suzuki,91996,91996
159,19-19,8,Tata,37555,37555
160,19-19,9,Hyundai,31707,31707
161,19-19,9,Kia,3082,3082
162,19-19,9,Mahindra  ,30673,30673
163,19-19,9,Maurti Suzuki,86996,86996
164,19-19,9,Tata,35738,35738
165,19-19,10,Hyundai,47732,47732
166,19-19,10,Kia,8862,8862
167,19-19,10,Mahindra  ,38811,38811
168,19-19,10,Maurti Suzuki,138064,138064
169,19-19,10,Tata,39102,39102
170,19-19,11,Hyundai,49588,49588
171,19-19,11,Kia,10572,10572
172,19-19,11,Mahindra  ,44581,44581
173,19-19,11,Maurti Suzuki,137979,137979
174,19-19,11,Tata,43479,43479
175,19-19,12,Hyundai,39334,39334
176,19-19,12,Kia,10344,10344
177,19-19,12,Mahindra  ,33883,33883
178,19-19,12,Maurti Suzuki,103169,103169
179,19-19,12,Tata,36296,36296
180,18-18,1,Hyundai,53793,53793
181,18-18,1,Mahindra  ,48756,48756
182,18-18,1,Maurti Suzuki,140669,140669
183,18-18,1,Kia,10000,10000
184,18-18,1,Tata,55192,55192
185,18-18,2,Hyundai,38146,38146
186,18-18,2,Mahindra  ,43220,43220
187,18-18,2,Kia,10000,10000
188,18-18,2,Maurti Suzuki,110528,110528
189,18-18,2,Tata,48849,48849
190,18-18,3,Hyundai,39616,39616
191,18-18,3,Mahindra  ,47928,47928
192,18-18,3,Maurti Suzuki,134305,134305
193,18-18,3,Kia,10000,10000
194,18-18,3,Tata,52699,52699
195,18-18,4,Hyundai,36684,36684
196,18-18,4,Mahindra  ,45299,45299
197,18-18,4,Maurti Suzuki,125589,125589
198,18-18,4,Tata,54042,54042
199,18-18,4,Kia,10000,10000
200,18-18,5,Hyundai,37965,37965
201,18-18,5,Mahindra  ,44501,44501
202,18-18,5,Maurti Suzuki,134459,134459
203,18-18,5,Kia,10000,10000
204,18-18,5,Tata,49438,49438
205,18-18,6,Hyundai,36518,36518
206,18-18,6,Mahindra  ,38696,38696
207,18-18,6,Maurti Suzuki,119889,119889
208,18-18,6,Tata,44973,44973
209,18-18,6,Kia,10000,10000
210,18-18,7,Hyundai,37756,37756
211,18-18,7,Mahindra  ,40476,40476
212,18-18,7,Maurti Suzuki,118440,118440
213,18-18,7,Kia,10000,10000
214,18-18,7,Tata,46879,46879
215,18-18,8,Hyundai,37567,37567
216,18-18,8,Mahindra  ,37533,37533
217,18-18,8,Maurti Suzuki,115185,115185
218,18-18,8,Tata,44293,44293
219,18-18,8,Kia,10000,10000
220,18-18,9,Hyundai,36910,36910
221,18-18,9,Mahindra  ,35644,35644
222,18-18,9,Maurti Suzuki,113964,113964
223,18-18,9,Tata,46532,46532
224,18-18,9,Kia,10000,10000
225,18-18,10,Hyundai,37742,37742
226,18-18,10,Mahindra  ,40308,40308
227,18-18,10,Maurti Suzuki,127171,127171
228,18-18,10,Tata,50172,50172
229,18-18,10,Kia,10000,10000
230,18-18,11,Hyundai,48012,48012
231,18-18,11,Mahindra  ,44944,44944
232,18-18,11,Maurti Suzuki,138642,138642
233,18-18,11,Tata,50107,50107
234,18-18,11,Kia,10000,10000
235,18-18,12,Hyundai,43063,43063
236,18-18,12,Mahindra  ,39404,39404
237,18-18,12,Maurti Suzuki,119717,119717
238,18-18,12,Tata,46356,46356
239,18-18,12,Kia,10000,10000
