year,month,company,regs,ht_goals
2019,4,PETROL/CNG,"32,309","32,309"
2019,4,PETROL/HYBRID,"6,513","6,513"
2019,5,CNG,"2,630","2,630"
2019,5,DIESEL,"2,10,945","2,10,945"
2019,5,ELECTRIC,"9,783","9,783"
2019,5,PETROL,"15,49,183","15,49,183"
2019,5,PETROL/CNG,"32,951","32,951"
2019,5,PETROL/HYBRID,"6,664","6,664"
2019,6,CNG,"2,231","2,231"
2019,6,DIESEL,"1,92,152","1,92,152"
2019,6,ELECTRIC,"10,764","10,764"
2019,6,PETROL,"14,51,028","14,51,028"
2019,6,PETROL/CNG,"27,822","27,822"
2019,6,PETROL/HYBRID,"6,115","6,115"
2019,7,CNG,"2,543","2,543"
2019,7,DIESEL,"2,16,627","2,16,627"
2019,7,ELECTRIC,"12,206","12,206"
2019,7,PETROL,"15,16,063","15,16,063"
2019,7,PETROL/CNG,"31,856","31,856"
2019,7,PETROL/HYBRID,"5,705","5,705"
2019,8,CNG,"2,515","2,515"
2019,8,DIESEL,"1,97,596","1,97,596"
2019,8,ELECTRIC,"12,816","12,816"
2019,8,PETROL,"13,67,692","13,67,692"
2019,8,PETROL/CNG,"30,023","30,023"
2019,8,PETROL/HYBRID,"5,674","5,674"
2019,9,CNG,"2,297","2,297"
2019,9,DIESEL,"1,75,500","1,75,500"
2019,9,ELECTRIC,"15,829","15,829"
2019,9,PETROL,"12,65,718","12,65,718"
2019,9,PETROL/CNG,"25,976","25,976"
2019,9,PETROL/HYBRID,"5,772","5,772"
2019,10,CNG,"2,584","2,584"
2019,10,DIESEL,"2,02,091","2,02,091"
2019,10,ELECTRIC,"15,197","15,197"
2019,10,PETROL,"15,85,514","15,85,514"
2019,10,PETROL/CNG,"38,433","38,433"
2019,10,PETROL/HYBRID,"8,605","8,605"
2019,11,CNG,"2,744","2,744"
2019,11,DIESEL,"2,27,989","2,27,989"
2019,11,ELECTRIC,"18,502","18,502"
2019,11,PETROL,"19,63,732","19,63,732"
2019,11,PETROL/CNG,"37,554","37,554"
2019,11,PETROL/HYBRID,"7,009","7,009"
2019,12,CNG,"2,078","2,078"
2019,12,DIESEL,"1,98,750","1,98,750"
2019,12,ELECTRIC,"16,438","16,438"
2019,12,PETROL,"14,06,587","14,06,587"
2019,12,PETROL/CNG,"29,358","29,358"
2019,12,PETROL/HYBRID,"5,354","5,354"
2018,1,CNG,"2,613","2,613"
2018,1,DIESEL,"2,52,309","2,52,309"
2018,1,ELECTRIC,"8,996","8,996"
2018,1,PETROL,"15,65,492","15,65,492"
2018,1,PETROL/CNG,"41,945","41,945"
2018,1,PETROL/HYBRID,35,35
2018,2,CNG,"2,394","2,394"
2018,2,DIESEL,"2,28,459","2,28,459"
2018,2,ELECTRIC,"7,507","7,507"
2018,2,PETROL,"14,17,456","14,17,456"
2018,2,PETROL/CNG,"38,161","38,161"
2018,2,PETROL/HYBRID,38,38
2018,3,CNG,"2,468","2,468"
2018,3,DIESEL,"2,57,953","2,57,953"
2018,3,ELECTRIC,"7,856","7,856"
2018,3,PETROL,"16,36,222","16,36,222"
2018,3,PETROL/CNG,"38,297","38,297"
2018,3,PETROL/HYBRID,68,68
2018,4,CNG,"2,730","2,730"
2018,4,DIESEL,"2,38,324","2,38,324"
2018,4,ELECTRIC,"7,558","7,558"
2018,4,PETROL,"16,10,492","16,10,492"
2018,4,PETROL/CNG,"38,027","38,027"
2018,4,PETROL/HYBRID,76,76
2018,5,CNG,"2,441","2,441"
2018,5,DIESEL,"2,34,443","2,34,443"
2018,5,ELECTRIC,"8,612","8,612"
2018,5,PETROL,"17,52,342","17,52,342"
2018,5,PETROL/CNG,"37,156","37,156"
2018,5,PETROL/HYBRID,55,55
2018,6,CNG,"2,145","2,145"
2018,6,DIESEL,"2,20,769","2,20,769"
2018,6,ELECTRIC,"9,007","9,007"
2018,6,PETROL,"15,87,652","15,87,652"
2018,6,PETROL/CNG,"34,404","34,404"
2018,6,PETROL/HYBRID,84,84
2018,7,CNG,"2,068","2,068"
2018,7,DIESEL,"2,44,208","2,44,208"
2018,7,ELECTRIC,"11,525","11,525"
2018,7,PETROL,"15,92,563","15,92,563"
2018,7,PETROL/CNG,"34,944","34,944"
2018,7,PETROL/HYBRID,49,49
2018,8,CNG,"2,133","2,133"
2018,8,DIESEL,"2,19,037","2,19,037"
2018,8,ELECTRIC,"11,693","11,693"
2018,8,PETROL,"14,60,846","14,60,846"
2018,8,PETROL/CNG,"34,066","34,066"
2018,8,PETROL/HYBRID,243,243
2018,9,CNG,"2,388","2,388"
2018,9,DIESEL,"2,11,070","2,11,070"
2018,9,ELECTRIC,"14,344","14,344"
2018,9,PETROL,"14,55,726","14,55,726"
2018,9,PETROL/CNG,"32,160","32,160"
2018,9,PETROL/HYBRID,"1,652","1,652"
2018,10,CNG,"2,814","2,814"
2018,10,DIESEL,"2,28,873","2,28,873"
2018,10,ELECTRIC,"15,167","15,167"
2018,10,PETROL,"14,71,792","14,71,792"
2018,10,PETROL/CNG,"34,545","34,545"
2018,10,PETROL/HYBRID,"2,339","2,339"
2018,11,CNG,"2,545","2,545"
2018,11,DIESEL,"2,28,683","2,28,683"
2018,11,ELECTRIC,"14,175","14,175"
2018,11,PETROL,"18,69,995","18,69,995"
2018,11,PETROL/CNG,"35,420","35,420"
2018,11,PETROL/HYBRID,"2,709","2,709"
2018,12,CNG,"2,645","2,645"
2018,12,DIESEL,"2,23,790","2,23,790"
2018,12,ELECTRIC,"15,616","15,616"
2018,12,PETROL,"16,49,297","16,49,297"
2018,12,PETROL/CNG,"33,086","33,086"
2018,12,PETROL/HYBRID,"4,243","4,243"
