index,team,matchday,season,goals,ht_goals
133,ELECTRIC(BOV),2,2018,"7,507","7,507"
134,ELECTRIC(BOV),3,2018,"7,856","7,856"
135,ELECTRIC(BOV),4,2018,"7,558","7,558"
136,ELECTRIC(BOV),5,2018,"8,612","8,612"
137,ELECTRIC(BOV),6,2018,"9,007","9,007"
138,ELECTRIC(BOV),7,2018,"11,525","11,525"
139,ELECTRIC(BOV),8,2018,"11,693","11,693"
140,ELECTRIC(BOV),9,2018,"14,344","14,344"
141,ELECTRIC(BOV),10,2018,"15,167","15,167"
142,ELECTRIC(BOV),11,2018,"14,175","14,175"
143,ELECTRIC(BOV),12,2018,"15,616","15,616"
144,PETROL,1,2021,1380383,1380383
145,PETROL,2,2021,1278742,1278742
146,PETROL,3,2021,1397166,1397166
147,PETROL,4,2021,1014954,1014954
148,PETROL,5,2021,1014954,1014954
149,PETROL,6,2021,1056579,1056579
150,PETROL,7,2021,1298625,1298625
151,PETROL,8,2021,1065893,1065893
152,PETROL,9,2021,1065893,1065893
153,PETROL,10,2021,1143425,1143425
154,PETROL,11,2021,1588216,1588216
155,PETROL,12,2021,1302476,1302476
156,PETROL,1,2020,1451243,1451243
157,PETROL,2,2020,1439741,1439741
158,PETROL,3,2020,1980828,1980828
159,PETROL,4,2020,331087,331087
160,PETROL,5,2020,185952,185952
161,PETROL,6,2020,892123,892123
162,PETROL,7,2020,1007013,1007013
163,PETROL,8,2020,1048328,1048328
164,PETROL,9,2020,1179073,1179073
165,PETROL,10,2020,1248199,1248199
166,PETROL,11,2020,1661631,1661631
167,PETROL,12,2020,1631350,1631350
168,PETROL,1,2019,"15,62,726","15,62,726"
169,PETROL,2,2019,"13,87,304","13,87,304"
170,PETROL,3,2019,"15,46,090","15,46,090"
171,PETROL,4,2019,"14,64,026","14,64,026"
172,PETROL,5,2019,"15,49,183","15,49,183"
173,PETROL,6,2019,"14,51,028","14,51,028"
174,PETROL,7,2019,"15,16,063","15,16,063"
175,PETROL,8,2019,"13,67,692","13,67,692"
176,PETROL,9,2019,"12,65,718","12,65,718"
177,PETROL,10,2019,"15,85,514","15,85,514"
178,PETROL,11,2019,"19,63,732","19,63,732"
179,PETROL,12,2019,"14,06,587","14,06,587"
180,PETROL,1,2018,"15,65,492","15,65,492"
181,PETROL,2,2018,"14,17,456","14,17,456"
182,PETROL,3,2018,"16,36,222","16,36,222"
183,PETROL,4,2018,"16,10,492","16,10,492"
184,PETROL,5,2018,"17,52,342","17,52,342"
185,PETROL,6,2018,"15,87,652","15,87,652"
186,PETROL,7,2018,"15,92,563","15,92,563"
187,PETROL,8,2018,"14,60,846","14,60,846"
188,PETROL,9,2018,"14,55,726","14,55,726"
189,PETROL,10,2018,"14,71,792","14,71,792"
190,PETROL,11,2018,"18,69,995","18,69,995"
191,PETROL,12,2018,"16,49,297","16,49,297"
192,PETROL/CNG,1,2021,27421,27421
193,PETROL/CNG,2,2021,23643,23643
194,PETROL/CNG,3,2021,26124,26124
195,PETROL/CNG,4,2021,15338,15338
196,PETROL/CNG,5,2021,15338,15338
197,PETROL/CNG,6,2021,13678,13678
198,PETROL/CNG,7,2021,26092,26092
199,PETROL/CNG,8,2021,18894,18894
200,PETROL/CNG,9,2021,18894,18894
201,PETROL/CNG,10,2021,16653,16653
202,PETROL/CNG,11,2021,17039,17039
203,PETROL/CNG,12,2021,18782,18782
204,PETROL/CNG,1,2020,39578,39578
205,PETROL/CNG,2,2020,30756,30756
206,PETROL/CNG,3,2020,23240,23240
207,PETROL/CNG,4,2020,3119,3119
208,PETROL/CNG,5,2020,1257,1257
209,PETROL/CNG,6,2020,7320,7320
210,PETROL/CNG,7,2020,10942,10942
211,PETROL/CNG,8,2020,14407,14407
212,PETROL/CNG,9,2020,14590,14590
213,PETROL/CNG,10,2020,20212,20212
214,PETROL/CNG,11,2020,21926,21926
215,PETROL/CNG,12,2020,21452,21452
216,PETROL/CNG,1,2019,"36,317","36,317"
217,PETROL/CNG,2,2019,"31,941","31,941"
218,PETROL/CNG,3,2019,"30,668","30,668"
